Linea_id,Casa,Cantidad_asignada,Costo_asignado,Metodo,Confianza,Justificacion
1672,Casa 4,3.0,41652.21,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1673,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1674,Casa 4,3.0,41652.21,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1675,Casa 4,60.0,136938.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1676,Casa 4,200.0,254160.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1685,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1693,Casa 4,40.0,224778.80000000002,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1705,Casa 4,300.0,136923.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1716,Casa 4,200.0,91282.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1717,Casa 4,300.0,136923.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1718,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1719,Casa 4,100.0,127080.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1720,Casa 4,15.0,84292.05,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1741,Casa 4,40.0,18265.6,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1746,Casa 4,3.0,42811.56,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1747,Casa 4,3.0,41651.01,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1748,Casa 4,15.0,84288.3,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1749,Casa 4,100.0,130385.99999999999,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1767,Casa 4,50.0,280973.5,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1768,Casa 4,3.0,41652.21,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1769,Casa 4,3.0,41652.21,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1770,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1771,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1779,Casa 4,20.0,26566.399999999998,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1782,Casa 4,360.0,125208.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1784,Casa 4,6.0,7969.92,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1791,Casa 4,25.0,33208.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1792,Casa 4,100.0,34779.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1793,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1794,Casa 4,20.0,117256.6,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1795,Casa 4,100.0,34779.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1796,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1800,Casa 4,15.0,87945.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1801,Casa 4,3.0,42811.56,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1802,Casa 4,60.0,22536.600000000002,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1806,Casa 4,60.0,22536.600000000002,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1807,Casa 4,3.0,42510.899999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1819,Casa 4,60.0,22513.2,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1820,Casa 4,220.0,82634.2,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1823,Casa 4,60.0,22513.2,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1825,Casa 4,180.0,67539.6,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1826,Casa 4,60.0,22513.2,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1829,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1834,Casa 4,100.0,134071.0,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1835,Casa 4,12.0,70353.95999999999,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1859,Casa 4,3.0,41652.21,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1867,Casa 4,25.0,146570.75,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1868,Casa 4,300.0,112566.00000000001,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1878,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1887,Casa 4,50.0,67035.5,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1889,Casa 4,50.0,67035.5,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1894,Casa 4,10.0,58628.3,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1915,Casa 4,17.0,99668.11,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1917,Casa 4,3.0,41651.01,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1918,Casa 4,3.0,42811.56,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1979,Casa 4,4.0,23451.32,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1981,Casa 4,3.0,41652.21,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
1994,Casa 4,3.0,42812.399999999994,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2006,Casa 4,10.0,58628.3,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2015,Casa 4,75.0,28141.500000000004,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2016,Casa 4,75.0,28141.500000000004,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2019,Casa 4,10.0,58628.3,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2020,Casa 4,10.0,58628.3,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2038,Casa 4,5.0,29314.15,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2129,Casa 4,5.0,29314.15,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2220,Casa 4,2.0,11725.66,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
2222,Casa 4,3.0,17588.489999999998,Directo núcleo Casa 4,Alta,Núcleo convencional confirmado
