Proveedor,Factura,Fecha,Descripcion_original,Cantidad,Precio_unitario,Total_linea,PDF_fuente,Linea_id,Material_homologado,Familia,Tipo_registro,Presentacion,Etapas_aplicables,Relevancia,Confianza_homologacion,Casa3_regla_23mar,Kg_por_unidad,Precio_por_kg
ALMACENES EL REY LTDA.,2000068010000077113,2025-12-04,CHUPON PLASTICO P/BE,1.0,2212.39,2212.39,Almaceneselrey/2025-12-04_50604122500310261532902000068010000077113189930818.pdf,1,Chupon Plastico P/Be,Otros insumos,Otro registrado,Unidad,Otros,4,Baja,No,,
ALMACENES EL REY LTDA.,2000068010000077113,2025-12-04,CHIS WIS PRO ORIGINA,1.0,530.97,530.97,Almaceneselrey/2025-12-04_50604122500310261532902000068010000077113189930818.pdf,2,Compra no constructiva,No constructivo,No incorporado,Unidad,No aplica,5,Alta,No,,
ALMACENES EL REY LTDA.,2000068010000077113,2025-12-04,CHUPETA PLASTICA C/T,1.0,840.71,840.71,Almaceneselrey/2025-12-04_50604122500310261532902000068010000077113189930818.pdf,3,Compra no constructiva,No constructivo,No incorporado,Unidad,No aplica,5,Alta,No,,
ALMACENES EL REY LTDA.,2000068010000077113,2025-12-04,CHUPETA ANATOMICO ES,1.0,840.71,840.71,Almaceneselrey/2025-12-04_50604122500310261532902000068010000077113189930818.pdf,4,Compra no constructiva,No constructivo,No incorporado,Unidad,No aplica,5,Alta,No,,
ALMACENES EL REY LTDA.,2000068010000077113,2025-12-04,BATIDORA MANUAL 200W,1.0,9646.02,9646.02,Almaceneselrey/2025-12-04_50604122500310261532902000068010000077113189930818.pdf,5,Herramienta / equipo,Herramientas y equipo,Herramienta/equipo,Unidad,No incorporado,5,Alta,No,,
ALMACENES EL REY LTDA.,2000068010000077117,2025-12-04,PELUCHE SONIC THE HE,1.0,6238.94,6238.94,Almaceneselrey/2025-12-04_50604122500310261532902000068010000077117134957079.pdf,6,Compra no constructiva,No constructivo,No incorporado,Unidad,No aplica,5,Alta,No,,
ALMACENES EL REY LTDA.,2000068010000077117,2025-12-04,CUBO RUBIKS 5.5CM SU,1.0,442.48,442.48,Almaceneselrey/2025-12-04_50604122500310261532902000068010000077117134957079.pdf,7,Compra no constructiva,No constructivo,No incorporado,Unidad,No aplica,5,Alta,No,,
ALMACENES EL REY LTDA.,2000068010000078070,2025-12-08,SHAMPOO P/AUTOS C/CE,1.0,3008.85,3008.85,Almaceneselrey/2025-12-08_50608122500310261532902000068010000078070308225492.pdf,8,Shampoo P/Autos C/Ce,Otros insumos,Otro registrado,Unidad,Otros,4,Baja,No,,
ALMACENES EL REY LTDA.,2000068010000078070,2025-12-08,ESPONJA P/LAVADO AUT,1.0,884.96,884.96,Almaceneselrey/2025-12-08_50608122500310261532902000068010000078070308225492.pdf,9,Esponja P/Lavado Aut,Otros insumos,Otro registrado,Unidad,Otros,4,Baja,No,,
ALMACENES EL REY LTDA.,2000068010000078070,2025-12-08,ESPONJA P/LAVADO AUT,1.0,884.96,884.96,Almaceneselrey/2025-12-08_50608122500310261532902000068010000078070308225492.pdf,10,Esponja P/Lavado Aut,Otros insumos,Otro registrado,Unidad,Otros,4,Baja,No,,
ALMACENES EL REY LTDA.,2000068010000078070,2025-12-08,PLACA ACERO P/TOMA 3,1.0,1084.07,1084.07,Almaceneselrey/2025-12-08_50608122500310261532902000068010000078070308225492.pdf,11,Interruptor / toma / caja eléctrica,Electricidad,Material permanente,Unidad,Instalación eléctrica,2,Alta,No,,
