Material_homologado,Familia,Cantidad_base,Costo_base,Estado
"4-1 2"" Continuo",Otros insumos,0.25,758.185,Reconstruido/observado
"A Cu A 1 4X1 1 2""",Otros insumos,0.5,333.63,Reconstruido/observado
Accesorio PVC sanitario,Plomería sanitaria,28.25,70264.055,Reconstruido/observado
Accesorio PVC/CPVC,Plomería,69.5,13152.114999999998,Reconstruido/observado
Accesorio eléctrico,Electricidad,6.75,15538.48,Reconstruido/observado
Accesorio eléctrico (genérico),Electricidad,20.5,10073.485,Reconstruido/observado
Accesorio eléctrico EMT,Electricidad,124.0,42850.54,Reconstruido/observado
Accesorio hidrosanitario (genérico),Plomería,70.75,310695.8774999999,Reconstruido/observado
Accesorio lavadora / icemaker,Plomería,1.0,11219.47,Reconstruido/observado
Accesorio sanitario genérico,Plomería sanitaria,2.25,11713.2675,Reconstruido/observado
Aceit Molib 10W40,Otros insumos,0.25,1581.8575,Reconstruido/observado
Aceite Penetrante 11Onz Wd-40,Otros insumos,0.25,791.3725,Reconstruido/observado
Aceite Wd-40 8 Onz,Otros insumos,0.5,1089.38,Reconstruido/observado
Acril Fill Nog 8Oz,Otros insumos,0.25,375.0,Reconstruido/observado
Acrílico / sellador,Selladores,2.25,53341.8125,Reconstruido/observado
"Adap Hemb 1/2"" Cpv",Otros insumos,1.0,1305.31,Reconstruido/observado
"Adap Hemb 3/4"" Cpv",Otros insumos,0.25,238.0525,Reconstruido/observado
Adhesivo / sellador,Adhesivos y selladores,1.75,6860.6925,Reconstruido/observado
Adhesivo / sellador (genérico),Adhesivos y selladores,2.25,4853.7675,Reconstruido/observado
Adhesivo cerámico,Adhesivos cerámicos,25.0,100663.75,Reconstruido/observado
Adhesivo multiuso,Adhesivos,0.5,2404.865,Reconstruido/observado
Aditivo Diesel 250,Otros insumos,0.5,949.56,Reconstruido/observado
Aislante térmico,Cubierta y techo,0.25,3074.115,Reconstruido/observado
Alcalina Aa 4 Und,Otros insumos,0.25,566.5925,Reconstruido/observado
Alfombra 91X198Cm,Otros insumos,0.25,4534.07,Reconstruido/observado
Ali Crt Front 9Mn,Otros insumos,0.5,1444.25,Reconstruido/observado
Alic Punt 6 Mng Pl,Otros insumos,0.25,528.0975,Reconstruido/observado
Alm Esquinas,Otros insumos,0.5,941.15,Reconstruido/observado
Alquiler puntales,Servicios,6.25,9375.0,Reconstruido/observado
