Material_homologado,Familia,Cantidad_base,Costo_base,Estado
"4-1 2"" Continuo",Otros insumos,0.25,758.185,Reconstruido/observado
"A Cu A 1 4X1 1 2""",Otros insumos,0.5,333.63,Reconstruido/observado
Accesorio PVC sanitario,Plomería sanitaria,28.25,50589.10166666666,Reconstruido/observado
Accesorio PVC/CPVC,Plomería,69.5,24910.655,Reconstruido/observado
Accesorio eléctrico,Electricidad,6.75,12554.949999999999,Reconstruido/observado
Accesorio eléctrico (genérico),Electricidad,20.5,53786.80166666667,Reconstruido/observado
Accesorio eléctrico EMT,Electricidad,124.0,51213.68,Reconstruido/observado
Accesorio hidrosanitario (genérico),Plomería,70.75,108475.7641666667,Reconstruido/observado
Accesorio lavadora / icemaker,Plomería,1.0,12411.799999999997,Reconstruido/observado
Accesorio sanitario genérico,Plomería sanitaria,2.25,10375.820833333333,Reconstruido/observado
Aceit Molib 10W40,Otros insumos,0.25,1581.8575,Reconstruido/observado
Aceite Penetrante 11Onz Wd-40,Otros insumos,0.25,791.3725,Reconstruido/observado
Aceite Wd-40 8 Onz,Otros insumos,0.5,1094.69,Reconstruido/observado
Acril Fill Nog 8Oz,Otros insumos,0.25,375.0,Reconstruido/observado
Acrílico / sellador,Selladores,2.25,35428.1925,Reconstruido/observado
"Adap Hemb 1/2"" Cpv",Otros insumos,1.0,1305.31,Reconstruido/observado
"Adap Hemb 3/4"" Cpv",Otros insumos,0.25,238.0525,Reconstruido/observado
Adhesivo / sellador,Adhesivos y selladores,1.75,8933.9825,Reconstruido/observado
Adhesivo / sellador (genérico),Adhesivos y selladores,2.25,9206.414166666664,Reconstruido/observado
Adhesivo / sellante,Ferretería,2.3333333333333335,54870.503333333334,Reconstruido/observado
Adhesivo cerámico,Adhesivos cerámicos,25.0,95501.41666666667,Reconstruido/observado
Adhesivo multiuso,Adhesivos,0.5,2404.865,Reconstruido/observado
Aditivo Diesel 250,Otros insumos,0.5,949.56,Reconstruido/observado
Aislante térmico,Cubierta y techo,0.25,3074.115,Reconstruido/observado
Alambre negro recocido #16,Acero refuerzo,91.33333333333333,48580.21,Reconstruido/observado
Alcalina Aa 4 Und,Otros insumos,0.25,566.5925,Reconstruido/observado
Alfombra 91X198Cm,Otros insumos,0.25,4534.07,Reconstruido/observado
Ali Crt Front 9Mn,Otros insumos,0.5,1444.25,Reconstruido/observado
